Team,Player,P,H/C,Rookie,Nat,School,GP,SOG,KSt,GS,G,A,A1,P,P1,ES G,ES A,ES A1,ES P,ES P1,PP G,PP A,PP A1,PP P,PP P1,SH G,SH A,SH A1,SH P,SH P1,PSG,EN,OTG,SOW,Pts/GP,P1/GP,SOG/GP,KSt/GP,GS/GP,5v5 GF%,FO%,PenT,PenD,PIM,FOW,FOL,BkS,GvA,TkA,Sh%,5v5 GF,5v5 GA,DIFF,PenDiff,Player
MIN,Kelsey Cline,F|D,L,*,USA,Minnesota,12,9,11,3.56,1,3,1,4,2,1,3,1,4,2,,,,0,0,,,,0,0,,,,,0.33,0.17,0.75,0.92,0.30,70.59,0.00,3,2,6,,1,6,3,3,0.11,12,5,7,-1,Kelsey Cline
MET,Cassie Dunne,D,R,,USA,Penn State U. (ACHA),19,6,9,1.58,0,2,0,2,0,,2,,2,0,,,,0,0,,,,0,0,,,,,0.11,0.00,0.32,0.47,0.08,24.00,100.00,3,1,6,1,,7,5,3,0.00,6,19,-13,-2,Cassie Dunne
CTW,Erin Hall,D,R,*,USA,Holy Cross,15,6,9,1.47,0,2,0,2,0,,1,,1,0,,1,,1,0,,,,0,0,,,,,0.13,0.00,0.40,0.60,0.10,35.29,#DIV/0!,3,,6,,,12,2,4,0.00,6,11,-5,-3,Erin Hall
BOS,Lexie Laing,F,R,*,USA,Harvard,24,88,102,42.57,12,15,9,27,21,8,9,6,17,14,3,6,3,9,6,1,,,1,1,,,,,1.13,0.88,3.67,4.25,1.77,61.54,61.12,2,14,4,250,159,13,13,14,0.14,16,10,6,12,Lexie Laing
MIN,Meaghan Pezon,F,R,,USA,St. Cloud State University,24,54,65,17.40,8,13,6,21,14,8,12,6,20,14,,1,,1,0,,,,0,0,,,,,0.88,0.58,2.25,2.71,0.73,75.61,42.82,2,9,4,155,207,2,6,10,0.15,31,10,21,7,Meaghan Pezon
BUF,Cassidy MacPherson,F,L,*,CAN,Providence,24,63,75,15.79,5,7,3,12,8,3,7,3,10,6,2,,,2,2,,,,0,0,,,,,0.50,0.33,2.63,3.13,0.66,39.02,49.37,2,6,4,195,200,12,5,10,0.08,16,25,-9,4,Cassidy MacPherson
CTW,Kaycie Anderson,F,L,,USA,Norwich Univ. (DIII),24,61,67,14.69,3,8,3,11,6,2,8,3,10,5,,,,0,0,1,,,1,1,,,,,0.46,0.25,2.54,2.79,0.61,41.94,33.33,2,6,4,1,2,3,19,10,0.05,13,18,-5,4,Kaycie Anderson
CTW,Jane Morrisette,F,R,*,USA,UMass-Boston (DIII),21,32,38,1.28,3,0,0,3,3,3,,,3,3,,,,0,0,,,,0,0,,,,,0.14,0.14,1.52,1.81,0.06,25.00,38.33,2,2,4,69,111,3,14,9,0.09,5,15,-10,0,Jane Morrisette
MIN,Brooke White-Lancette,F,L,,USA,Northeastern,10,8,10,2.94,2,1,0,3,2,2,1,,3,2,,,,0,0,,,,0,0,,,,,0.30,0.20,0.80,1.00,0.29,83.33,0.00,2,2,4,,2,0,0,2,0.25,5,1,4,0,Brooke White-Lancette
BOS,Briana Mastel,D,L,*,USA,Harvard,24,26,44,7.50,1,6,1,7,2,1,4,,5,1,,2,1,2,1,,,,0,0,,,,,0.29,0.08,1.08,1.83,0.31,66.67,#DIV/0!,2,1,4,0,0,8,6,3,0.04,16,8,8,-1,Briana Mastel
BOS,Jenna Rheault,D,R,*,USA,New Hampshire,24,33,58,7.91,1,5,3,6,4,1,4,3,5,4,,,,0,0,,1,,1,0,,,1,,0.25,0.17,1.38,2.42,0.33,70.83,0.00,2,7,4,,1,16,10,16,0.03,17,7,10,5,Jenna Rheault
